test_name	package	source_files	linked_libs	has_mf_sites	note
ContainerMeta_test	larcorealg	larcorealg/test/CoreUtils/ContainerMeta_test.cc	libboost_unit_test_framework.so.1.82.0	0	
DebugUtils_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/test/CoreUtils/DebugUtils_test.cc	libboost_unit_test_framework.so.1.82.0;libcetlib.so;libcetlib_except.so;libcrypto.so;liblarcorealg_CoreUtils.so	0	
Decomposer_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/larcorealg/Geometry/AuxDetGeo.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/AuxDetGeometryCore.cxx;larcorealg/larcorealg/Geometry/AuxDetReadoutGeom.cxx;larcorealg/larcorealg/Geometry/AuxDetSensitiveGeo.cxx;larcorealg/larcorealg/Geometry/BoxBoundedGeo.cxx;larcorealg/larcorealg/Geometry/CryostatGeo.cxx;larcorealg/larcorealg/Geometry/GeoNodePath.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/GeoVectorLocalTransformation.cxx;larcorealg/larcorealg/Geometry/GeometryBuilderStandard.cxx;larcorealg/larcorealg/Geometry/GeometryCore.cxx;larcorealg/larcorealg/Geometry/Intersections.cxx;larcorealg/larcorealg/Geometry/LocalTransformation.cxx;larcorealg/larcorealg/Geometry/OpDetGeo.cxx;larcorealg/larcorealg/Geometry/PlaneGeo.cxx;larcorealg/larcorealg/Geometry/StandaloneGeometrySetup.cxx;larcorealg/larcorealg/Geometry/TPCGeo.cxx;larcorealg/larcorealg/Geometry/WireGeo.cxx;larcorealg/larcorealg/Geometry/WireReadoutDumper.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeom.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeomBuilderStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutSorterStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutStandardGeom.cxx;larcorealg/larcorealg/Geometry/details/GeometryIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/ReadoutIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/maybe_default_detector_name.cxx;larcorealg/test/Geometry/Decomposer_test.cxx;larcoreobj/larcoreobj/SimpleTypesAndConstants/geo_types.cxx	libCLHEP-Geometry-2.4.7.1.so;libCLHEP-Vector-2.4.7.1.so;libCore.so.6.28.12;libGenVector.so.6.28.12;libGeom.so.6.28.12;libHist.so.6.28.12;libImt.so.6.28.12;libMF_MessageLogger.so;libMathCore.so.6.28.12;libMatrix.so.6.28.12;libMultiProc.so.6.28.12;libNet.so.6.28.12;libPhysics.so.6.28.12;libRIO.so.6.28.12;libThread.so.6.28.12;libboost_atomic.so.1.82.0;libboost_filesystem.so.1.82.0;libboost_unit_test_framework.so.1.82.0;libcetlib.so;libcetlib_except.so;libcrypto.so;libfhiclcpp.so;libfhiclcpp_types.so;liblarcorealg_CoreUtils.so;liblarcorealg_Geometry.so;liblarcoreobj_SimpleTypesAndConstants.so;libtbb.so.12	1	
DumpUtils_test	larcorealg	larcorealg/test/CoreUtils/DumpUtils_test.cc	libCore.so.6.28.12;libGenVector.so.6.28.12;libImt.so.6.28.12;libMathCore.so.6.28.12;libMatrix.so.6.28.12;libMultiProc.so.6.28.12;libNet.so.6.28.12;libPhysics.so.6.28.12;libRIO.so.6.28.12;libThread.so.6.28.12;libboost_unit_test_framework.so.1.82.0	0	
LineClosestPoint_test	larcorealg	larcorealg/test/Geometry/LineClosestPoint_test.cc	libCore.so.6.28.12;libGenVector.so.6.28.12;libImt.so.6.28.12;libMathCore.so.6.28.12;libMultiProc.so.6.28.12;libNet.so.6.28.12;libRIO.so.6.28.12;libThread.so.6.28.12;libboost_unit_test_framework.so.1.82.0;libcetlib.so;libcetlib_except.so;libcrypto.so	0	
MetaUtils_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/test/CoreUtils/MetaUtils_test.cc	libboost_unit_test_framework.so.1.82.0;libcetlib.so;libcetlib_except.so;libcrypto.so;liblarcorealg_CoreUtils.so	0	
NameSelector_test	larcorealg	larcorealg/larcorealg/TestUtils/NameSelector.cxx;larcorealg/test/TestUtils/NameSelector_test.cxx	libboost_atomic.so.1.82.0;libboost_filesystem.so.1.82.0;libboost_unit_test_framework.so.1.82.0;libcanvas.so;libcetlib.so;libcetlib_except.so;libcrypto.so;libfhiclcpp.so;liblarcorealg_TestUtils.so	0	
NumericUtils_test	larcorealg	larcorealg/test/CoreUtils/NumericUtils_test.cc	libboost_unit_test_framework.so.1.82.0	0	
ProviderList_test	larcorealg	larcorealg/test/TestUtils/ProviderList_test.cc	libboost_unit_test_framework.so.1.82.0;libcetlib_except.so	0	
ProviderPack_test	larcorealg	larcorealg/test/CoreUtils/ProviderPack_test.cc	libboost_unit_test_framework.so.1.82.0	0	
